Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
fec8f6f2-de65-4020-bc23-e3d0fc0f7986,"2020-06-04, 08:29:59 PM",Cloudtrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,108.46.197.118
24a4bb52-ca80-4b3e-a1a8-b38209a6f18d,"2020-06-04, 08:29:58 PM",Cloudtrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""neeltrails""}]",,us-east-1,,108.46.197.118
fbcf683d-d006-4a90-b568-801800f179b1,"2020-06-04, 08:29:58 PM",Cloudtrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""neeltrails""}]",,us-east-1,,108.46.197.118
bfb721be-7aed-4b18-93b7-1b8ba650777a,"2020-06-04, 08:29:17 PM",Cloudtrail,ConsoleLogin,,,,us-east-1,,108.46.197.118
67c48c8b-7e25-4c9e-af9c-f9b4688a9681,"2020-06-04, 08:28:45 PM",Accountant,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""trails123""}]",,us-east-1,AccessDenied,108.46.197.118
4abbef9c-d29a-4ac7-a8bc-a1d88466cea3,"2020-06-04, 08:28:39 PM",Accountant,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""trails""}]",,us-east-1,AccessDenied,108.46.197.118
7ef766ed-8986-45b6-bee6-5b498a7ba022,"2020-06-04, 08:22:59 PM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
474b6c35-a8af-40cb-94ff-5ccc747235b7,"2020-06-04, 08:22:49 PM",Accountant,ConsoleLogin,,,,us-east-1,,108.46.197.118
d29b3d6d-3745-4a34-834b-fb59bb08fd65,"2020-06-04, 08:22:23 PM",Cloudtrail,ChangePassword,,,,us-east-1,,AWS Internal
0c70f373-2e99-4410-8cba-9808f018bb1d,"2020-06-04, 08:21:49 PM",Cloudtrail,ConsoleLogin,,,,us-east-1,,108.46.197.118
386c8528-d01d-4522-a31a-21373dbe9387,"2020-06-04, 08:20:18 PM",root,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,108.46.197.118
5ca83f3e-79bf-4ba1-89a6-92f40b2ab950,"2020-06-04, 08:20:09 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,108.46.197.118
44ff6c2a-160d-4e4b-9d4a-f710dcd58833,"2020-06-04, 08:19:43 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Cloudtrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,108.46.197.118
669d1b34-f46f-4a66-883e-80f7c7269f05,"2020-06-04, 08:19:43 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Cloudtrail""}]",,us-east-1,,108.46.197.118
6b0c8861-ddc7-4c27-8b2d-221f295bac5f,"2020-06-04, 08:19:43 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Cloudtrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::519113664765:user/Cloudtrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAXRXMV5D6ZAY3SWMSA""}]",,us-east-1,,108.46.197.118
7383a892-32ce-44e9-a3aa-8c393e291446,"2020-06-04, 08:19:43 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Cloudtrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,108.46.197.118
7f1c5907-7e8e-4d12-ac0a-32ce45fe8ee6,"2020-06-04, 08:19:43 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAXRXMV5D6SQ3GBDGYW""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::519113664765:user/Accountant""}]",,us-east-1,,108.46.197.118
8ecf29e1-34ee-448c-ada9-0fcf0778a12f,"2020-06-04, 08:19:43 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,108.46.197.118
c702f1cd-5509-417c-8f7c-4d140b5a2b78,"2020-06-04, 08:19:43 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,108.46.197.118
f8774584-f351-4b80-9f90-7762b6a66346,"2020-06-04, 08:19:43 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,108.46.197.118
358bc883-1820-4bee-957b-4bcd46b2a430,"2020-06-04, 08:16:34 PM",root,DeleteUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,108.46.197.118
3cdd8c90-accf-447d-a555-09b52d508a33,"2020-06-04, 08:16:34 PM",root,DeleteUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Cloudtrail""}]",,us-east-1,,108.46.197.118
5574237d-5de2-4b1e-94f1-99b226fc0fe8,"2020-06-04, 08:16:34 PM",root,DetachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,108.46.197.118
653bc0ff-4c21-42ef-a086-f3f64ca1a8b0,"2020-06-04, 08:16:34 PM",root,DeleteAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAXRXMV5D6ZCBM5B5R""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Cloudtrail""}]",,us-east-1,,108.46.197.118
7b2efb74-c697-4f1f-aaa2-f03b9f775d34,"2020-06-04, 08:16:34 PM",root,DeleteLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Cloudtrail""}]",,us-east-1,,108.46.197.118
94090289-17df-4905-991a-20a7b65d0188,"2020-06-04, 08:16:34 PM",root,DeleteLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,108.46.197.118
f8337a5a-048a-4e36-b589-d3ade989671c,"2020-06-04, 08:16:34 PM",root,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,108.46.197.118
faca5e04-5592-4119-8986-a2a437f9d964,"2020-06-04, 08:16:34 PM",root,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Cloudtrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,108.46.197.118
fb941881-fb99-483e-9341-63ba4301b346,"2020-06-04, 08:16:34 PM",root,DetachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Cloudtrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,108.46.197.118
01309d35-aa0a-447c-8a5c-689baea7a74c,"2020-06-04, 08:16:19 PM",root,ConsoleLogin,,,,us-east-1,,108.46.197.118
593a1974-a39b-43b5-b32f-31db78c41d74,"2020-06-04, 08:16:07 PM",HIDDEN_DUE_TO_SECURITY_REASONS,ConsoleLogin,,,,us-east-1,,108.46.197.118
d763d52e-b537-4438-b9e1-801b551d78fb,"2020-06-04, 08:07:09 PM",root,CreateVirtualMFADevice,IAM MfaDevice,"[{""resourceType"":""AWS::IAM::MfaDevice"",""resourceName"":""root-account-mfa-device""},{""resourceType"":""AWS::IAM::MfaDevice"",""resourceName"":""arn:aws:iam::519113664765:mfa/root-account-mfa-device""}]",,us-east-1,,108.46.197.118
73e8a06c-d9a3-4d1d-9b57-d4471c9e830e,"2020-06-04, 08:05:42 PM",root,ConsoleLogin,,,,us-east-1,,108.46.197.118
